add-none,2,100,400,664819,1662,0
add-none,2,1000,4000,717093,179,0
add-none,2,10000,40000,1224593,30,-305
add-none,2,100000,400000,7986627,19,644
add-none,4,100,800,1110423,1388,0
add-none,4,1000,8000,1284221,160,0
add-none,4,10000,80000,1628921,20,7920
add-none,4,100000,800000,15417606,19,-36477
add-none,8,100,1600,881080,550,0
add-none,8,1000,16000,940258,58,649
add-none,8,10000,160000,3146055,19,-3632
add-none,8,100000,1600000,27119479,16,-147366
add-none,12,100,2400,921526,383,0
add-none,12,1000,24000,911541,37,66
add-none,12,10000,240000,4259331,17,4234
add-none,12,100000,2400000,44081008,18,-39361
add-yield-none,2,10,40,1190355,29758,3
add-yield-none,2,20,80,1077329,13466,2
add-yield-none,2,40,160,753352,4708,0
add-yield-none,2,80,320,1960720,6127,19
add-yield-none,2,100,400,2155261,5388,19
add-yield-none,2,1000,4000,12285188,3071,14
add-yield-none,2,10000,40000,106268891,2656,17
add-yield-none,2,100000,400000,665482236,1663,0
add-yield-none,4,10,80,47088823,588610,0
add-yield-none,4,20,160,46178841,288617,0
add-yield-none,4,40,320,35287179,110272,0
add-yield-none,4,80,640,35232864,55051,0
add-yield-none,4,100,800,35286649,44108,0
add-yield-none,4,1000,8000,48249234,6031,0
add-yield-none,4,10000,80000,194584981,2432,0
add-yield-none,4,100000,800000,691486897,864,-11645
add-yield-none,8,10,160,47322228,295763,0
add-yield-none,8,20,320,47729706,149155,0
add-yield-none,8,40,640,45222586,70660,0
add-yield-none,8,80,1280,45625224,35644,0
add-yield-none,8,100,1600,42213089,26383,0
add-yield-none,8,1000,16000,60339279,3771,0
add-yield-none,8,10000,160000,230318942,1439,0
add-yield-none,8,100000,1600000,946502440,591,10074
add-yield-none,12,10,240,41223863,171766,0
add-yield-none,12,20,480,31661977,65962,0
add-yield-none,12,40,960,9539220,9936,0
add-yield-none,12,80,1920,13788385,7181,44
add-yield-none,12,100,2400,11366184,4735,44
add-yield-none,12,1000,24000,43593152,1816,-420
add-yield-none,12,10000,240000,135751382,565,808
add-yield-none,12,100000,2400000,980154146,408,-40311
add-none,1,100,200,21267368,106336,0
add-none,1,1000,2000,12262935,6131,0
add-none,1,10000,20000,10254773,512,0
add-none,1,100000,200000,28225963,141,0
add-none,1,1000000,2000000,36258536,18,0
add-none,2,100,400,20269966,50674,0
add-none,2,1000,4000,19302258,4825,0
add-none,2,10000,40000,746603,18,0
add-none,2,100000,400000,15773694,39,0
add-none,2,1000000,4000000,43221007,10,163903
add-none,4,100,800,21292911,26616,-55
add-none,4,1000,8000,15142262,1892,-175
add-none,4,10000,80000,12251996,153,-2286
add-none,4,100000,800000,35309144,44,39006
add-none,4,1000000,8000000,131227459,16,-253013
add-yield-none,1,100,200,450862,2254,0
add-yield-none,1,1000,2000,3540163,1770,0
add-yield-none,1,10000,20000,21207539,1060,0
add-yield-none,1,100000,200000,201365592,1006,0
add-yield-none,1,1000000,2000000,1900654964,950,0
add-yield-none,2,100,400,431212,1078,53
add-yield-none,2,1000,4000,1970028,492,0
add-yield-none,2,10000,40000,16959934,423,-53
add-yield-none,2,100000,400000,169978215,424,-1663
add-yield-none,2,1000000,4000000,1801647210,450,-16376
add-yield-none,4,100,800,529517,661,69
add-yield-none,4,1000,8000,2177746,272,0
add-yield-none,4,10000,80000,20253543,253,-1790
add-yield-none,4,100000,800000,183289636,229,420
add-yield-none,4,1000000,8000000,1822741913,227,-4023
add-yield-m,2,10000,40000,51140927,1278,0
add-yield-m,4,10000,80000,123325580,1541,0
add-yield-m,8,10000,160000,275656979,1722,0
add-yield-m,12,10000,240000,483404158,2014,0
add-yield-s,2,1000,4000,3944232,986,0
add-yield-s,4,1000,8000,8926721,1115,0
add-yield-s,8,1000,16000,27632168,1727,0
add-yield-s,12,1000,24000,56190568,2341,0
add-yield-c,2,10000,40000,33571973,839,0
add-yield-c,4,10000,80000,70941631,886,0
add-yield-c,8,10000,160000,160540471,1003,0
add-yield-c,12,10000,240000,234195939,975,0
add-none,1,10000,20000,419127,20,0
add-none,2,10000,40000,549739,13,-2143
add-none,4,10000,80000,1218177,15,-7306
add-none,8,10000,160000,2826355,17,-2473
add-none,12,10000,240000,5037128,20,-9285
add-m,1,10000,20000,902236,45,0
add-m,2,10000,40000,6174635,154,0
add-m,4,10000,80000,11103937,138,0
add-m,8,10000,160000,34613023,216,0
add-m,12,10000,240000,51158676,213,0
add-s,1,10000,20000,558511,27,0
add-s,2,10000,40000,4053174,101,0
add-s,4,10000,80000,18482153,231,0
add-s,8,10000,160000,70669471,441,0
add-s,12,10000,240000,187005159,779,0
add-c,1,10000,20000,699371,34,0
add-c,2,10000,40000,2530856,63,0
add-c,4,10000,80000,8244321,103,0
add-c,8,10000,160000,19198664,119,0
add-c,12,10000,240000,30694350,127,0
